"Block","Day","Genotype","Treatment","Tube","Number.of.females","Number.of.eggs","Number.of.Offspring"
1,1,"RAL 786","NI",3,5,53,35
1,1,"RAL 799","I",1,5,49,33
1,1,"RAL 799","I",2,5,47,20
1,1,"RAL 799","I",3,5,23,14
1,1,"RAL 799","NI",1,5,36,27
1,1,"RAL 799","NI",2,5,46,36
1,1,"RAL 799","NI",3,5,10,6
1,1,"RAL 737","I",1,5,8,4
1,1,"RAL 737","I",2,5,60,45
1,1,"RAL 737","I",3,5,2,1
1,1,"RAL 737","NI",1,5,27,20
1,1,"RAL 737","NI",2,4,26,20
1,1,"RAL 737","NI",3,4,28,22
1,1,"RAL 370","I",1,5,41,26
1,1,"RAL 370","I",2,5,33,29
1,1,"RAL 370","I",3,5,17,12
1,1,"RAL 370","NI",1,5,71,46
1,1,"RAL 370","NI",2,5,16,7
1,1,"RAL 370","NI",3,5,33,13
1,1,"RAL 837","I",1,5,2,0
1,1,"RAL 837","I",2,5,15,8
1,1,"RAL 837","I",3,5,8,2
1,1,"RAL 837","NI",1,5,1,1
1,1,"RAL 837","NI",2,4,2,0
1,1,"RAL 837","NI",3,4,9,3
1,1,"RAL 646","I",1,5,12,12
1,1,"RAL 646","I",2,5,17,17
1,1,"RAL 646","I",3,5,32,28
1,1,"RAL 646","NI",1,4,60,57
1,1,"RAL 646","NI",2,4,79,75
1,1,"RAL 646","NI",3,4,33,33
1,2,"RAL 443","I",1,5,17,13
1,2,"RAL 443","I",2,5,19,14
1,2,"RAL 443","I",3,5,29,25
1,2,"RAL 443","NI",1,5,58,42
1,2,"RAL 443","NI",2,4,49,38
1,2,"RAL 443","NI",3,5,79,59
1,2,"RAL 776","I",1,5,62,53
1,2,"RAL 776","I",2,5,64,54
1,2,"RAL 776","I",3,5,39,26
1,2,"RAL 776","NI",1,2,26,25
1,2,"RAL 776","NI",2,4,58,31
1,2,"RAL 776","NI",3,4,39,33
1,2,"RAL 486","I",1,5,72,41
1,2,"RAL 486","I",2,5,83,58
1,2,"RAL 486","I",3,5,49,26
1,2,"RAL 486","NI",1,5,58,37
1,2,"RAL 486","NI",2,5,97,72
1,2,"RAL 486","NI",3,5,96,77
1,2,"RAL 395","I",1,5,20,14
1,2,"RAL 395","I",2,5,13,11
1,2,"RAL 395","I",3,5,40,23
1,2,"RAL 395","NI",1,5,58,51
1,2,"RAL 395","NI",2,5,52,45
1,2,"RAL 395","NI",3,5,53,33
1,2,"RAL 397","I",1,5,44,10
1,2,"RAL 397","I",2,5,34,7
1,2,"RAL 397","I",3,5,35,14
1,2,"RAL 397","NI",1,5,43,13
1,2,"RAL 397","NI",2,5,63,9
1,2,"RAL 397","NI",3,5,59,11
1,2,"RAL 129","I",1,5,62,30
1,2,"RAL 129","I",2,5,68,43
1,2,"RAL 129","I",3,5,88,55
1,2,"RAL 129","NI",1,5,70,50
1,2,"RAL 129","NI",2,4,75,45
1,2,"RAL 129","NI",3,3,54,26
1,2,"RAL 382","I",1,5,33,19
1,2,"RAL 382","I",2,4,90,45
1,2,"RAL 382","I",3,5,27,16
1,2,"RAL 382","NI",1,5,20,14
1,2,"RAL 382","NI",2,4,60,40
1,2,"RAL 382","NI",3,5,110,70
1,2,"RAL 786","I",1,5,75,32
1,2,"RAL 786","I",2,5,62,36
1,2,"RAL 786","I",3,5,88,48
1,2,"RAL 786","NI",1,5,76,49
1,2,"RAL 786","NI",2,5,114,60
1,2,"RAL 786","NI",3,4,70,44
1,2,"RAL 799","I",1,5,42,35
1,2,"RAL 799","I",2,5,48,29
1,2,"RAL 799","I",3,5,33,21
1,2,"RAL 799","NI",1,5,53,45
1,2,"RAL 799","NI",2,4,62,48
1,2,"RAL 799","NI",3,4,2,1
1,2,"RAL 737","I",1,5,1,1
1,2,"RAL 737","I",2,5,99,73
1,2,"RAL 737","I",3,5,1,1
1,2,"RAL 737","NI",1,5,85,56
1,2,"RAL 737","NI",2,3,46,29
1,2,"RAL 737","NI",3,4,45,31
1,2,"RAL 370","I",1,5,41,35
1,2,"RAL 370","I",2,5,51,41
1,2,"RAL 370","I",3,5,19,14
1,2,"RAL 370","NI",1,5,38,22
1,2,"RAL 370","NI",2,5,36,31
1,2,"RAL 370","NI",3,5,14,8
1,2,"RAL 837","I",1,5,75,40
1,2,"RAL 837","I",2,5,82,36
1,2,"RAL 837","I",3,5,119,55
1,2,"RAL 837","NI",1,4,88,48
1,2,"RAL 837","NI",2,4,119,68
1,2,"RAL 837","NI",3,4,96,41
1,2,"RAL 646","I",1,4,33,33
1,2,"RAL 646","I",2,3,0,0
1,2,"RAL 646","I",3,5,36,29
1,2,"RAL 646","NI",1,4,31,31
1,2,"RAL 646","NI",2,4,52,44
1,2,"RAL 646","NI",3,4,8,8
1,3,"RAL 443","I",1,5,44,37
1,3,"RAL 443","I",2,5,58,30
1,3,"RAL 443","I",3,4,29,20
1,3,"RAL 443","NI",1,4,48,31
1,3,"RAL 443","NI",2,5,47,42
1,3,"RAL 443","NI",3,5,57,44
1,3,"RAL 776","I",1,5,28,27
1,3,"RAL 776","I",2,5,33,29
1,3,"RAL 776","I",3,5,30,21
1,3,"RAL 776","NI",1,2,22,20
1,3,"RAL 776","NI",2,4,46,33
1,3,"RAL 776","NI",3,4,42,38
1,3,"RAL 486","I",1,4,29,20
1,3,"RAL 486","I",2,4,41,36
1,3,"RAL 486","I",3,3,27,15
1,3,"RAL 486","NI",1,4,48,37
1,3,"RAL 486","NI",2,5,59,55
1,3,"RAL 486","NI",3,5,74,60
1,3,"RAL 395","I",1,3,16,11
1,3,"RAL 395","I",2,3,16,12
1,3,"RAL 395","I",3,4,10,4
1,3,"RAL 395","NI",1,5,67,55
1,3,"RAL 395","NI",2,5,54,43
1,3,"RAL 395","NI",3,5,58,36
1,3,"RAL 397","I",1,4,23,3
1,3,"RAL 397","I",2,5,31,7
1,3,"RAL 397","I",3,4,34,11
1,3,"RAL 397","NI",1,5,33,6
1,3,"RAL 397","NI",2,5,60,12
1,3,"RAL 397","NI",3,5,39,5
1,3,"RAL 129","I",1,5,28,9
1,3,"RAL 129","I",2,3,11,5
1,3,"RAL 129","I",3,5,31,17
1,3,"RAL 129","NI",1,5,65,48
1,3,"RAL 129","NI",2,4,50,36
1,3,"RAL 129","NI",3,3,45,27
1,3,"RAL 382","I",1,4,19,8
1,3,"RAL 382","I",2,4,9,7
1,3,"RAL 382","I",3,5,40,29
1,3,"RAL 382","NI",1,5,57,39
1,3,"RAL 382","NI",2,4,67,42
1,3,"RAL 382","NI",3,5,43,36
1,3,"RAL 786","I",1,5,35,16
1,3,"RAL 786","I",2,5,30,13
1,3,"RAL 786","I",3,5,27,7
1,3,"RAL 786","NI",1,4,62,42
1,3,"RAL 786","NI",2,4,63,44
1,3,"RAL 786","NI",3,4,31,20
1,3,"RAL 799","I",1,5,41,30
1,3,"RAL 799","I",2,5,27,17
1,3,"RAL 799","I",3,5,32,18
1,3,"RAL 799","NI",1,5,40,33
1,3,"RAL 799","NI",2,4,42,32
1,3,"RAL 799","NI",3,3,15,8
1,3,"RAL 737","I",1,4,56,41
1,3,"RAL 737","I",2,5,38,26
1,3,"RAL 737","I",3,5,67,40
1,3,"RAL 737","NI",1,5,51,36
1,3,"RAL 737","NI",2,3,36,22
1,3,"RAL 737","NI",3,4,54,37
1,3,"RAL 370","I",1,5,39,33
1,3,"RAL 370","I",2,5,31,21
1,3,"RAL 370","I",3,5,30,18
1,3,"RAL 370","NI",1,5,29,18
1,3,"RAL 370","NI",2,5,27,16
1,3,"RAL 370","NI",3,5,23,12
1,3,"RAL 837","I",1,5,39,18
1,3,"RAL 837","I",2,4,17,9
1,3,"RAL 837","I",3,4,10,7
1,3,"RAL 837","NI",1,4,44,29
1,3,"RAL 837","NI",2,4,57,34
1,3,"RAL 837","NI",3,4,44,27
1,3,"RAL 646","I",1,3,53,50
1,3,"RAL 646","I",2,3,7,6
1,3,"RAL 646","I",3,3,27,18
1,3,"RAL 646","NI",1,3,38,35
1,3,"RAL 646","NI",2,4,66,60
1,3,"RAL 646","NI",3,4,78,72
1,4,"RAL 443","I",1,5,26,25
1,4,"RAL 443","I",2,5,56,40
1,4,"RAL 443","I",3,4,24,16
1,4,"RAL 443","NI",1,5,30,18
1,4,"RAL 443","NI",2,4,45,34
1,4,"RAL 443","NI",3,5,25,20
1,4,"RAL 776","I",1,5,51,43
1,4,"RAL 776","I",2,5,50,46
1,4,"RAL 776","I",3,5,44,36
1,4,"RAL 776","NI",1,2,27,22
1,4,"RAL 776","NI",2,4,53,37
1,4,"RAL 776","NI",3,4,38,36
1,4,"RAL 486","I",1,4,50,38
1,4,"RAL 486","I",2,3,59,50
1,4,"RAL 486","I",3,3,34,27
1,4,"RAL 486","NI",1,4,44,32
1,4,"RAL 486","NI",2,5,59,52
1,4,"RAL 486","NI",3,5,92,73
1,4,"RAL 395","I",1,3,18,14
1,4,"RAL 395","I",2,2,10,6
1,4,"RAL 395","I",3,4,20,16
1,4,"RAL 395","NI",1,5,42,39
1,4,"RAL 395","NI",2,5,25,22
1,4,"RAL 395","NI",3,5,59,45
1,4,"RAL 397","I",1,3,28,8
1,4,"RAL 397","I",2,5,38,3
1,4,"RAL 397","I",3,4,31,11
1,4,"RAL 397","NI",1,5,40,7
1,4,"RAL 397","NI",2,5,52,13
1,4,"RAL 397","NI",3,5,57,10
1,4,"RAL 129","I",1,4,58,34
1,4,"RAL 129","I",2,2,31,24
1,4,"RAL 129","I",3,3,27,17
1,4,"RAL 129","NI",1,5,63,40
1,4,"RAL 129","NI",2,4,59,43
1,4,"RAL 129","NI",3,3,47,30
1,4,"RAL 382","I",1,3,32,20
1,4,"RAL 382","I",2,4,79,46
1,4,"RAL 382","I",3,3,36,27
1,4,"RAL 382","NI",1,4,33,27
1,4,"RAL 382","NI",2,4,74,43
1,4,"RAL 382","NI",3,5,58,45
1,4,"RAL 786","I",1,5,40,20
1,4,"RAL 786","I",2,5,34,26
1,4,"RAL 786","I",3,5,73,45
1,4,"RAL 786","NI",1,4,50,29
1,4,"RAL 786","NI",2,4,87,48
1,4,"RAL 786","NI",3,4,29,18
1,4,"RAL 799","I",1,5,47,37
1,4,"RAL 799","I",2,5,50,28
1,4,"RAL 799","I",3,5,37,21
1,4,"RAL 799","NI",1,5,40,33
1,4,"RAL 799","NI",2,4,30,24
1,4,"RAL 799","NI",3,3,2,0
1,4,"RAL 737","I",1,3,1,1
1,4,"RAL 737","I",2,5,30,24
1,4,"RAL 737","I",3,5,11,5
1,4,"RAL 737","NI",1,5,50,36
1,4,"RAL 737","NI",2,3,16,11
1,4,"RAL 737","NI",3,4,29,17
1,4,"RAL 837","I",1,4,33,23
1,4,"RAL 837","I",2,3,13,6
1,4,"RAL 837","I",3,4,81,42
1,4,"RAL 837","NI",1,4,77,44
1,4,"RAL 837","NI",2,4,63,38
1,4,"RAL 837","NI",3,4,58,32
1,4,"RAL 646","I",1,3,59,54
1,4,"RAL 646","I",2,3,16,12
1,4,"RAL 646","I",3,2,19,15
1,4,"RAL 646","NI",1,3,29,28
1,4,"RAL 646","NI",2,4,57,51
1,4,"RAL 646","NI",3,4,33,33
1,4,"RAL 370","I",1,5,59,43
1,4,"RAL 370","I",2,5,65,47
1,4,"RAL 370","I",3,5,39,21
1,4,"RAL 370","NI",1,5,51,31
1,4,"RAL 370","NI",2,4,47,33
1,4,"RAL 370","NI",3,4,30,19
1,5,"RAL 443","I",1,5,55,36
1,5,"RAL 443","I",2,5,37,13
1,5,"RAL 443","I",3,4,33,23
1,5,"RAL 443","NI",1,5,19,17
1,5,"RAL 443","NI",2,4,27,18
1,5,"RAL 443","NI",3,5,30,23
1,5,"RAL 776","I",1,5,43,36
1,5,"RAL 776","I",2,4,41,35
1,5,"RAL 776","I",3,5,34,27
1,5,"RAL 776","NI",1,2,21,18
1,5,"RAL 776","NI",2,4,42,28
1,5,"RAL 776","NI",3,4,44,36
1,5,"RAL 486","I",1,4,46,33
1,5,"RAL 486","I",2,3,34,26
1,5,"RAL 486","I",3,3,7,4
1,5,"RAL 486","NI",1,4,28,18
1,5,"RAL 486","NI",2,5,56,46
1,5,"RAL 486","NI",3,5,72,63
1,5,"RAL 395","I",1,3,5,5
1,5,"RAL 395","I",2,2,17,10
1,5,"RAL 395","I",3,3,24,18
1,5,"RAL 395","NI",1,5,28,26
1,5,"RAL 395","NI",2,5,23,15
1,5,"RAL 395","NI",3,5,30,26
1,5,"RAL 397","I",1,3,31,5
1,5,"RAL 397","I",2,5,47,10
1,5,"RAL 397","I",3,4,38,10
1,5,"RAL 397","NI",1,5,42,8
1,5,"RAL 397","NI",2,5,45,9
1,5,"RAL 397","NI",3,5,49,8
1,5,"RAL 129","I",1,4,31,17
1,5,"RAL 129","I",2,2,19,16
1,5,"RAL 129","I",3,2,29,18
1,5,"RAL 129","NI",1,4,70,57
1,5,"RAL 129","NI",2,4,37,24
1,5,"RAL 129","NI",3,3,49,31
1,5,"RAL 382","I",1,3,23,14
1,5,"RAL 382","I",2,4,50,36
1,5,"RAL 382","I",3,3,34,25
1,5,"RAL 382","NI",1,4,52,44
1,5,"RAL 382","NI",2,4,51,29
1,5,"RAL 382","NI",3,4,37,31
1,5,"RAL 786","I",1,5,48,22
1,5,"RAL 786","I",2,5,29,19
1,5,"RAL 786","I",3,5,38,19
1,5,"RAL 786","NI",1,4,55,33
1,5,"RAL 786","NI",2,4,62,40
1,5,"RAL 786","NI",3,4,35,15
1,5,"RAL 799","I",1,5,32,20
1,5,"RAL 799","I",2,5,41,23
1,5,"RAL 799","I",3,5,44,28
1,5,"RAL 799","NI",1,5,33,17
1,5,"RAL 799","NI",2,4,40,32
1,5,"RAL 799","NI",3,3,7,3
1,5,"RAL 737","I",1,3,41,30
1,5,"RAL 737","I",2,5,93,69
1,5,"RAL 737","I",3,5,95,48
1,5,"RAL 737","NI",1,5,91,56
1,5,"RAL 737","NI",2,3,56,47
1,5,"RAL 737","NI",3,4,51,38
1,5,"RAL 837","I",1,4,51,29
1,5,"RAL 837","I",2,3,29,15
1,5,"RAL 837","I",3,4,57,25
1,5,"RAL 837","NI",1,4,54,27
1,5,"RAL 837","NI",2,4,79,43
1,5,"RAL 837","NI",3,4,45,29
1,5,"RAL 646","I",1,3,66,64
1,5,"RAL 646","I",2,3,7,7
1,5,"RAL 646","I",3,2,24,13
1,5,"RAL 646","NI",1,3,35,31
1,5,"RAL 646","NI",2,4,76,65
1,5,"RAL 646","NI",3,4,60,51
1,5,"RAL 370","I",1,5,36,25
1,5,"RAL 370","I",2,4,29,21
1,5,"RAL 370","I",3,5,31,16
1,5,"RAL 370","NI",1,5,30,20
1,5,"RAL 370","NI",2,4,25,18
1,5,"RAL 370","NI",3,4,22,13
2,1,"RAL 382","I",1,5,96,28
2,1,"RAL 382","I",2,5,68,26
2,1,"RAL 382","I",3,5,32,18
2,1,"RAL 382","NI",1,5,92,54
2,1,"RAL 382","NI",2,5,76,23
2,1,"RAL 382","NI",3,5,70,24
2,1,"RAL 737","I",1,5,27,21
2,1,"RAL 737","I",2,5,32,17
2,1,"RAL 737","I",3,5,2,2
2,1,"RAL 737","NI",1,5,28,17
2,1,"RAL 737","NI",2,5,40,22
2,1,"RAL 737","NI",3,5,1,1
2,1,"RAL 776","I",1,5,44,23
2,1,"RAL 776","I",2,5,43,38
2,1,"RAL 776","I",3,5,80,69
2,1,"RAL 776","NI",1,5,106,70
2,1,"RAL 776","NI",2,5,84,76
2,1,"RAL 776","NI",3,5,69,49
2,1,"RAL 443","I",1,5,64,42
2,1,"RAL 443","I",2,5,46,34
2,1,"RAL 443","I",3,5,38,30
2,1,"RAL 443","NI",1,5,67,49
2,1,"RAL 443","NI",2,5,61,47
2,1,"RAL 443","NI",3,5,65,55
2,1,"RAL 799","I",1,5,27,20
2,1,"RAL 799","I",2,5,24,19
2,1,"RAL 799","I",3,5,35,22
2,1,"RAL 799","NI",1,5,46,39
2,1,"RAL 799","NI",2,5,33,27
2,1,"RAL 799","NI",3,5,30,21
2,1,"RAL 129","I",1,5,35,18
2,1,"RAL 129","I",2,5,39,26
2,1,"RAL 129","I",3,5,147,139
2,1,"RAL 129","NI",1,4,81,57
2,1,"RAL 129","NI",2,5,70,44
2,1,"RAL 129","NI",3,4,60,44
2,1,"RAL 786","I",1,5,54,46
2,1,"RAL 786","I",2,5,42,32
2,1,"RAL 786","I",3,5,27,8
2,1,"RAL 786","NI",1,4,39,29
2,1,"RAL 786","NI",2,4,37,23
2,1,"RAL 786","NI",3,4,19,11
2,1,"RAL 395","I",1,5,36,31
2,1,"RAL 395","I",2,5,37,32
2,1,"RAL 395","I",3,5,70,51
2,1,"RAL 395","NI",1,5,52,37
2,1,"RAL 395","NI",2,5,34,29
2,1,"RAL 395","NI",3,5,32,26
2,1,"RAL 397","I",1,5,77,18
2,1,"RAL 397","I",2,5,42,5
2,1,"RAL 397","I",3,5,70,14
2,1,"RAL 397","NI",1,5,61,17
2,1,"RAL 397","NI",2,5,46,18
2,1,"RAL 397","NI",3,5,57,13
2,1,"RAL 646","I",1,5,40,38
2,1,"RAL 646","I",2,5,46,32
2,1,"RAL 646","I",3,5,31,30
2,1,"RAL 646","NI",1,5,10,10
2,1,"RAL 646","NI",2,5,38,34
2,1,"RAL 646","NI",3,5,56,48
2,1,"RAL 486","I",1,5,64,40
2,1,"RAL 486","I",2,5,99,63
2,1,"RAL 486","I",3,5,67,42
2,1,"RAL 486","NI",1,5,136,79
2,1,"RAL 486","NI",2,5,87,37
2,1,"RAL 486","NI",3,5,99,79
2,1,"RAL 370","I",1,5,48,25
2,1,"RAL 370","I",2,5,28,13
2,1,"RAL 370","I",3,5,42,35
2,1,"RAL 370","NI",1,5,47,37
2,1,"RAL 370","NI",2,5,41,32
2,1,"RAL 370","NI",3,5,40,22
2,1,"RAL 837","I",1,5,48,28
2,1,"RAL 837","I",2,5,23,12
2,1,"RAL 837","I",3,5,59,36
2,1,"RAL 837","NI",1,4,24,7
2,1,"RAL 837","NI",2,5,38,31
2,1,"RAL 837","NI",3,5,12,0
2,2,"RAL 382","I",1,5,33,12
2,2,"RAL 382","I",2,5,4,1
2,2,"RAL 382","I",3,5,44,32
2,2,"RAL 382","NI",1,5,86,59
2,2,"RAL 382","NI",2,5,9,7
2,2,"RAL 382","NI",3,5,41,29
2,2,"RAL 737","I",1,5,42,33
2,2,"RAL 737","I",2,5,60,35
2,2,"RAL 737","I",3,5,47,37
2,2,"RAL 737","NI",1,5,79,60
2,2,"RAL 737","NI",2,5,79,54
2,2,"RAL 737","NI",3,5,35,30
2,2,"RAL 776","I",1,5,48,26
2,2,"RAL 776","I",2,5,39,38
2,2,"RAL 776","I",3,5,13,13
2,2,"RAL 776","NI",1,4,32,23
2,2,"RAL 776","NI",2,5,38,35
2,2,"RAL 776","NI",3,5,38,25
2,2,"RAL 443","I",1,5,26,26
2,2,"RAL 443","I",2,4,2,0
2,2,"RAL 443","I",3,5,12,11
2,2,"RAL 443","NI",1,5,6,6
2,2,"RAL 443","NI",2,5,29,21
2,2,"RAL 443","NI",3,5,42,37
2,2,"RAL 799","I",1,5,35,22
2,2,"RAL 799","I",2,5,36,26
2,2,"RAL 799","I",3,5,16,11
2,2,"RAL 799","NI",1,5,27,22
2,2,"RAL 799","NI",2,4,44,40
2,2,"RAL 799","NI",3,4,35,29
2,2,"RAL 129","I",1,5,23,1
2,2,"RAL 129","I",2,5,42,27
2,2,"RAL 129","I",3,5,63,51
2,2,"RAL 129","NI",1,4,84,66
2,2,"RAL 129","NI",2,5,66,49
2,2,"RAL 129","NI",3,4,51,38
2,2,"RAL 786","I",1,5,14,9
2,2,"RAL 786","I",2,5,41,32
2,2,"RAL 786","I",3,4,49,21
2,2,"RAL 786","NI",1,4,59,40
2,2,"RAL 786","NI",2,4,46,33
2,2,"RAL 786","NI",3,4,77,47
2,2,"RAL 395","I",1,5,22,20
2,2,"RAL 395","I",2,5,15,15
2,2,"RAL 395","I",3,5,51,39
2,2,"RAL 395","NI",1,4,51,47
2,2,"RAL 395","NI",2,4,47,35
2,2,"RAL 395","NI",3,5,38,38
2,2,"RAL 397","I",1,5,33,12
2,2,"RAL 397","I",2,5,59,29
2,2,"RAL 397","I",3,5,10,2
2,2,"RAL 397","NI",1,5,51,17
2,2,"RAL 397","NI",2,5,49,14
2,2,"RAL 397","NI",3,5,14,2
2,2,"RAL 646","I",1,5,39,39
2,2,"RAL 646","I",2,5,9,9
2,2,"RAL 646","I",3,5,38,37
2,2,"RAL 646","NI",1,5,36,34
2,2,"RAL 646","NI",2,5,83,78
2,2,"RAL 646","NI",3,5,77,69
2,2,"RAL 486","I",1,5,57,33
2,2,"RAL 486","I",2,5,67,38
2,2,"RAL 486","I",3,5,51,30
2,2,"RAL 486","NI",1,4,79,52
2,2,"RAL 486","NI",2,5,105,34
2,2,"RAL 486","NI",3,4,68,45
2,2,"RAL 837","I",1,5,10,9
2,2,"RAL 837","I",2,5,72,44
2,2,"RAL 837","I",3,5,22,14
2,2,"RAL 837","NI",1,4,80,44
2,2,"RAL 837","NI",2,5,69,58
2,2,"RAL 837","NI",3,5,88,61
2,2,"RAL 370","I",1,5,33,26
2,2,"RAL 370","I",2,5,29,24
2,2,"RAL 370","I",3,5,34,32
2,2,"RAL 370","NI",1,5,26,19
2,2,"RAL 370","NI",2,5,37,26
2,2,"RAL 370","NI",3,5,42,34
2,3,"RAL 382","I",1,5,20,10
2,3,"RAL 382","I",2,4,22,11
2,3,"RAL 382","I",3,5,2,1
2,3,"RAL 382","NI",1,5,40,29
2,3,"RAL 382","NI",2,5,11,6
2,3,"RAL 382","NI",3,5,19,10
2,3,"RAL 737","I",1,4,10,8
2,3,"RAL 737","I",2,5,5,0
2,3,"RAL 737","I",3,4,35,30
2,3,"RAL 737","NI",1,5,45,34
2,3,"RAL 737","NI",2,5,57,42
2,3,"RAL 737","NI",3,4,31,21
2,3,"RAL 776","I",1,5,32,14
2,3,"RAL 776","I",2,5,16,13
2,3,"RAL 776","I",3,5,49,47
2,3,"RAL 776","NI",1,4,24,23
2,3,"RAL 776","NI",2,5,25,21
2,3,"RAL 776","NI",3,5,53,36
2,3,"RAL 443","I",1,5,66,40
2,3,"RAL 443","I",2,4,56,39
2,3,"RAL 443","I",3,5,75,55
2,3,"RAL 443","NI",1,5,55,38
2,3,"RAL 443","NI",2,5,46,16
2,3,"RAL 443","NI",3,5,71,63
2,3,"RAL 799","I",1,5,47,21
2,3,"RAL 799","I",2,5,26,22
2,3,"RAL 799","I",3,3,30,22
2,3,"RAL 799","NI",1,5,48,26
2,3,"RAL 799","NI",2,4,59,52
2,3,"RAL 799","NI",3,4,28,17
2,3,"RAL 486","I",1,4,29,12
2,3,"RAL 486","I",2,5,51,35
2,3,"RAL 486","I",3,4,17,11
2,3,"RAL 486","NI",1,5,28,13
2,3,"RAL 486","NI",2,4,48,17
2,3,"RAL 486","NI",3,4,47,29
2,3,"RAL 370","I",1,5,51,29
2,3,"RAL 370","I",2,5,55,38
2,3,"RAL 370","I",3,5,69,46
2,3,"RAL 370","NI",1,5,64,44
2,3,"RAL 370","NI",2,5,81,66
2,3,"RAL 370","NI",3,5,54,43
2,3,"RAL 129","I",1,3,22,3
2,3,"RAL 129","I",2,5,31,21
2,3,"RAL 129","I",3,5,66,65
2,3,"RAL 129","NI",1,3,34,33
2,3,"RAL 129","NI",2,5,49,38
2,3,"RAL 129","NI",3,4,46,35
2,3,"RAL 786","I",1,5,48,36
2,3,"RAL 786","I",2,5,43,22
2,3,"RAL 786","I",3,4,56,30
2,3,"RAL 786","NI",1,4,65,49
2,3,"RAL 786","NI",2,4,65,50
2,3,"RAL 786","NI",3,4,45,35
2,3,"RAL 395","I",1,5,69,55
2,3,"RAL 395","I",2,3,37,34
2,3,"RAL 395","I",3,5,41,32
2,3,"RAL 395","NI",1,4,41,32
2,3,"RAL 395","NI",2,4,30,24
2,3,"RAL 395","NI",3,5,63,41
2,3,"RAL 397","I",1,4,22,3
2,3,"RAL 397","I",2,5,39,15
2,3,"RAL 397","I",3,2,5,4
2,3,"RAL 397","NI",1,5,45,13
2,3,"RAL 397","NI",2,5,46,18
2,3,"RAL 397","NI",3,5,49,16
2,3,"RAL 646","I",1,5,110,102
2,3,"RAL 646","I",2,5,104,93
2,3,"RAL 646","I",3,5,59,49
2,3,"RAL 646","NI",1,5,25,24
2,3,"RAL 646","NI",2,5,71,66
2,3,"RAL 646","NI",3,5,49,47
2,3,"RAL 837","I",1,3,5,1
2,3,"RAL 837","I",2,3,20,13
2,3,"RAL 837","I",3,4,79,42
2,3,"RAL 837","NI",1,4,54,29
2,3,"RAL 837","NI",2,4,62,35
2,3,"RAL 837","NI",3,5,30,17
2,4,"RAL 129","I",1,3,47,6
2,4,"RAL 129","I",2,5,42,37
2,4,"RAL 129","I",3,5,61,53
2,4,"RAL 129","NI",1,3,45,33
2,4,"RAL 129","NI",2,5,53,31
2,4,"RAL 129","NI",3,4,53,38
2,4,"RAL 786","I",1,4,28,22
2,4,"RAL 786","I",2,5,57,34
2,4,"RAL 786","I",3,3,51,25
2,4,"RAL 786","NI",1,4,59,52
2,4,"RAL 786","NI",2,4,56,37
2,4,"RAL 786","NI",3,4,52,38
2,4,"RAL 395","I",1,5,24,20
2,4,"RAL 395","I",2,3,8,8
2,4,"RAL 395","I",3,5,6,5
2,4,"RAL 395","NI",1,4,19,16
2,4,"RAL 395","NI",2,4,2,2
2,4,"RAL 395","NI",3,5,15,7
2,4,"RAL 397","I",1,3,17,4
2,4,"RAL 397","I",2,4,63,20
2,4,"RAL 397","I",3,1,5,2
2,4,"RAL 397","NI",1,5,66,22
